common_name,scientific_name,kingdom,phylum,class,order,family,genus,habitat,diet,lifespan_wild,lifespan_captivity,weight_kg,conservation_status,population_trend,geographic_range,interesting_fact,threats,description,lipaspan_captivity,lipaspan_wild
Rice,Oryza sativa,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oryza,"Paddy fields, flooded lowlands, tropical and subtropical regions",N/A — plant,Annual,Annual crop,N/A,Not Evaluated,Stable,Worldwide (cultivated); native to Asia,"Rice feeds more than half the world's population and has been cultivated in Asia for over 7,000 years. The flooded paddy fields used to grow rice are one of the largest human-created wetland ecosystems and support rich biodiversity including fish, frogs, and waterbirds.","Climate change, water scarcity, saltwater intrusion","Rice is an annual grass growing 1–1.8 m tall in waterlogged fields (paddies). Its edible grain (the rice seed) is the staple food of most of Asia. There are over 40,000 varieties adapted to diverse climates and soil conditions.",,
Rosy Maple Moth,Dryocampa rubicunda,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Dryocampa,Maple forests and woodlands of eastern North America,Herbivore (larvae) — maple trees; Adults — cannot eat,,N/A,<0.001 kg,Least Concern,Stable,Eastern North America,The rosy maple moth is frequently called the most beautiful moth in North America. Its absurdly vibrant pink and yellow colouring is thought to be aposematic — warning predators of unpalatability — though the exact mechanism of its apparent protection is still studied.,"Habitat loss, light pollution","The rosy maple moth is a small to medium-sized moth, strikingly coloured with vivid flamingo-pink wings and body with bright yellow patches — a combination that seems impossible in nature. Males have distinctively feathered antennae.",,1–2 weeks (adult)
Scarce Swallow,Iphiclides podalirius,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Iphiclides,"Woodland edges, scrubland, orchards, hillsides","Herbivore (larvae) — blackthorn, cherry, apple; Adults — nectar",1 year (lifecycle),,<0.001 kg,Near Threatened,Decreasing,"Europe (excluding northwest), parts of Asia","The scarce swallowtail (podalirius swallowtail) is the largest butterfly in much of central Europe. Despite its name, it is actually quite common in its range. Its long tails and bold striping make it one of the most elegant and recognisable butterflies in Europe.","Loss of blackthorn scrub, orchard decline, pesticides","The scarce swallowtail has pale cream-yellow wings beautifully streaked with black, vivid blue hindwing markings, red eyespots, and long, elegant hindwing tails. Its flight is soaring and effortless — one of the most graceful butterflies in Europe.",N/A,
Seal,Halichoerus grypus,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,"Rocky coasts, sandy beaches, ice floes","Carnivore — fish, squid, crustaceans",25–35 years,Up to 40 years,85–300 kg,Least Concern,Increasing,North Atlantic coasts,Grey seals can hold their breath for up to 30 minutes and dive to depths exceeding 300 m. Their whiskers (vibrissae) are so sensitive that they can detect prey movements in the water without using sight.,"Bycatch, pollution, culling","The grey seal is a large true seal with a distinctive elongated, 'Roman nose' profile (more pronounced in males). Males are slate-grey with pale spots; females are lighter with darker spots. Males can be twice the weight of females.",,
Shark,Carcharhinus leucas,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,"Warm coastal waters, estuaries, rivers","Carnivore — fish, turtles, birds, dolphins, other sharks",27 years,Rarely kept in captivity,90–230 kg,Near Threatened,Decreasing,Worldwide in tropical and subtropical coastal waters,Bull sharks are one of the few shark species that can survive in both salt and fresh water. They have been found hundreds of kilometres up rivers including the Amazon and Mississippi.,"Overfishing, bycatch, habitat loss, shark finning","The bull shark is a large, heavy-bodied shark with a broad, flat snout and is grey on top with a white belly. It is one of the three shark species most frequently involved in unprovoked attacks on humans.",,
Sheep,Ovis aries,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,"Grasslands, mountains (domesticated)","Herbivore — grass, hay, plants",10–12 years,10–12 years,45–160 kg,Not Evaluated,Stable,Worldwide (domesticated),Sheep have an excellent memory for faces — they can remember up to 50 other sheep faces for over two years. Studies show they can also recognise human faces and show a preference for happy expressions over neutral ones.,None — domesticated,"The domestic sheep is a ruminant mammal typically covered in a thick woolly coat. One of the earliest animals to be domesticated (around 10,000 years ago), it is raised worldwide for wool, meat, and milk.",,
Silver Spot Skipper,Epargyreus clarus,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Epargyreus,"Gardens, forest edges, roadsides, meadows",Herbivore (larvae) — black locust and legumes; Adults — many flowers,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,North America,"The silver-spotted skipper is considered the most recognisable skipper in North America. Despite being a skipper (a group often considered 'dull'), it is large, fast-flying, and has dramatic markings. Males are extremely territorial, chasing anything that passes through their perch territory, including much larger insects and even birds.",Habitat loss,"The silver-spotted skipper is a medium-large skipper with dark brown wings, a bold yellow-orange patch on the forewing, and a distinctive large silver spot on the hindwing underside. Skippers hold their wings at their characteristic hooked angle when resting.",N/A,
Sixspot Burnet Moth,Zygaena filipendulae,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,"Chalk and limestone grasslands, coastal cliffs, meadows",Herbivore (larvae) — bird's-foot trefoil; Adults — nectar,1 year (lifecycle),,<0.001 kg,Least Concern,Decreasing,"Europe, parts of Asia","The six-spot burnet produces its own hydrogen cyanide — it doesn't just acquire it from food plants, it biosynthesises it. This self-produced cyanide, stored as cyanogenic glycosides, makes it highly toxic to predators. Its vivid warning colours are honest signals.","Loss of chalk grassland, reduction in bird's-foot trefoil","The six-spot burnet moth is a day-flying moth with striking metallic blue-black forewings bearing six bright crimson spots. The hindwings are crimson bordered in black. Its slow, buzzing flight advertises its toxicity to predators.",N/A,
Sleepy Orange,Abaeis nicippe,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Abaeis,"Open fields, roadsides, woodland edges with cassia plants",Herbivore (larvae) — various Cassia species; Adults — nectar,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Southern US through Central America,"The sleepy orange is named for the black cell spot on its forewing that looks like a closed, 'sleepy' eye when the wings are folded. It is one of the few sulphur butterflies that overwinters as an adult, continuing to fly on warm winter days.",Habitat loss,"The sleepy orange is a bright orange butterfly with yellow-orange undersides and bold black wing borders above. It has seasonal forms — summer individuals are more vivid; winter individuals have darker, more mottled underwings for camouflage.",N/A,
Snail,Helix pomatia,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,"Deciduous forests, gardens, meadows, vineyards, hedgerows","Herbivore — leaves, decaying vegetation, fungi, berries",10–20 years,Up to 30 years,0.02–0.04 kg,Least Concern,Decreasing,Central and Southeast Europe; introduced worldwide,"The Roman snail can seal the entrance of its shell with a parchment-like covering (epiphragm) and hibernate for months. In dry conditions it can aestivate (summer dormancy) for years, reviving when moistened. Its slime reduces friction and is being studied for biomedical adhesives.","Habitat loss, collection for food, pesticide use","The Roman snail (also called escargot) has a large, globular creamy-white to pale brown shell with 4–5 whorls and brown banding. The body is grey with pale tentacles topped by eyes. It produces copious mucus for locomotion and sealing the shell.",,
Snake,Ophidia spp.,Animalia,Chordata,Reptilia,Squamata,Various,Various,Every terrestrial and aquatic habitat except Arctic,"Carnivore — rodents, frogs, lizards, birds, insects, fish",10–25 years (varies by species),Up to 40 years,0.01–100 kg (varies enormously),Varies by species,Decreasing,All continents except Antarctica and Ireland,"Snakes have no eyelids — instead, their eyes are covered by transparent scales called brilles that are shed with the skin. Snakes 'hear' vibrations through their jawbone connected to the inner ear, and taste the air using their forked tongue.","Habitat loss, persecution, road mortality, illegal trade","Snakes are elongated, limbless reptiles with flexible, kinetic skulls allowing them to swallow prey much larger than their head diameter. About 600 of the 3,700 species are venomous. They range from 10 cm to over 9 m in length.",,
Snow Leopard,Panthera uncia,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,"Alpine and subalpine zones, rocky mountains, cliffs","Carnivore — blue sheep, Himalayan tahr, deer, birds",10–12 years,Up to 21 years,22–55 kg,Vulnerable,Decreasing,"Central and South Asia (Himalayas, Hindu Kush, Altai)","Snow leopards use their extraordinarily long, thick tails (nearly the length of their bodies) as a blanket — wrapping them around their faces to protect from extreme cold and wind.","Poaching, retaliatory killing, habitat loss, prey decline","The snow leopard has a pale smoky grey coat with dark rosettes and spots, a stocky body, and wide, fur-covered paws that act as natural snowshoes. It is rarely seen and is sometimes called the 'ghost of the mountains'.",,
Sparrow,Passer domesticus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,"Cities, towns, farms, forests, grasslands","Omnivore — seeds, insects, berries, scraps",3 years,Up to 13 years,0.024–0.040 kg,Least Concern,Decreasing,Worldwide (introduced to all continents except Antarctica),"House sparrows are one of the most widespread birds on Earth, having followed human settlements across the globe. Despite being so common, house sparrow populations have declined by over 60% in the UK since the 1970s due to urban changes.","Habitat change (urban intensification), food reduction, air pollution","The house sparrow is a small, stocky bird. Males have a grey crown, white cheeks, and a distinctive black bib; females are plain brown. It is one of the most familiar birds in the world, strongly associated with human habitation.",,
Spider,Araneus diadematus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,"Gardens, hedgerows, forests, meadows",Carnivore — insects caught in webs,1 year,Up to 5 years,<0.001 kg,Least Concern,Stable,"Europe, North America, parts of Asia","The garden spider's orb web is an engineering marvel — stronger than steel by weight, more elastic than nylon, and capable of absorbing the kinetic energy of flying insects without breaking. Spiders consume and rebuild their webs daily to recycle the protein.","Pesticide reduction of prey, habitat loss","The garden spider (cross spider) is a common orb-weaving spider with a large, round abdomen typically brown with a pale cross-shaped pattern of white spots. It builds a large circular web among vegetation, typically with a characteristic zigzag of white silk (stabilimentum) in the centre.",,
Squid,Loligo vulgaris,Animalia,Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,"Open ocean, coastal waters, from surface to 500m depth","Carnivore — fish, crustaceans, smaller squid",1–2 years,Rarely kept,0.1–2 kg,Least Concern,Stable,Northeast Atlantic and Mediterranean,"Squids can change colour in milliseconds using chromatophores (pigment-filled sacs), iridophores (reflective plates), and leucophores (white diffusers) in their skin — all under direct neural control. They can produce complex moving patterns for camouflage, communication, and prey attraction.",Overfishing,"The European squid has a streamlined, torpedo-shaped body with two triangular fins, eight arms, and two longer tentacles. Its transparent skin is dotted with chromatophores that allow rapid, dramatic colour changes from transparent to red, brown, and mottled patterns.",,
Squirrel,Sciurus carolinensis,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,"Forests, parks, gardens, urban areas","Omnivore — nuts, seeds, fruit, fungi, insects, eggs",2–6 years,Up to 20 years,0.4–0.6 kg,Least Concern,Stable,"Eastern North America; introduced to UK, Ireland, parts of Europe",Grey squirrels can find nuts buried under 30 cm of snow and remember the locations of thousands of caches they made months earlier. They also practise 'deceptive caching' — pretending to bury nuts while being watched.,Minimal (common); red squirrel displacement (in UK),"The grey squirrel is a medium-sized rodent with a bushy tail and predominantly grey fur. It is an agile climber and acrobatic jumper, storing food in the ground for winter. It has become invasive in Europe, outcompeting red squirrels.",,
Starfish,Asterias rubens,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,"Intertidal and subtidal rocky shores, sandy seabeds","Carnivore — mussels, oysters, barnacles, snails, worms",5–10 years,Up to 10 years,0.005–0.5 kg,Least Concern,Stable,Northeast Atlantic coast from Svalbard to Senegal,"Starfish (sea stars) digest food outside their bodies — they evert (turn inside out) their stomach, insert it into a mussel shell, dissolve and absorb the prey, then retract the stomach back inside. They can open shells barely 0.1 mm wide.","Ocean warming, pollution, overharvesting of prey",The common starfish is a five-armed sea star typically orange to pale brown in colour. Each arm tapers to a point and is covered in rows of small tube feet on the underside used for locomotion and prey capture. It can regenerate lost arms.,,
Sugarcane,Saccharum officinarum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Saccharum,Tropical and subtropical moist farmland,N/A — plant,Perennial,Perennial crop,N/A,Not Evaluated,Stable,Tropical regions worldwide,"Sugarcane is the world's largest crop by mass. Brazil alone produces over 750 million tonnes per year, primarily for sugar and ethanol biofuel. The plant has been grown for sugar for at least 4,000 years — originally chewed raw in ancient New Guinea and India.","Land use pressure, water use, climate change","Sugarcane is a tall perennial grass reaching 3–6 m, with jointed, fibrous stems (culms) rich in sucrose. After harvest, it regrows from the root stubble (ratoon cropping) for several seasons before replanting is needed.",,
Swan,Cygnus olor,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,"Lakes, rivers, ponds, estuaries, wetlands","Herbivore — aquatic plants, grass, grain",20–30 years,Up to 50 years,8–15 kg,Least Concern,Stable,"Europe, parts of Asia; introduced worldwide","Mute swans are, despite their name, not completely silent. They hiss, grunt, and make wing-beat sounds. They are also among the heaviest flying birds — a large male can weigh over 15 kg. In the UK, all unmarked mute swans on open water belong to the Crown.","Lead poisoning from fishing weights, power line strikes, habitat loss","The mute swan is a large, all-white waterbird with an orange bill marked with a black knob at the base. It glides elegantly on water with its neck in a graceful S-curve and its wings often arched. It mates for life.",,
Testa,Unidentified species,Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Evaluated,Unknown,Unknown,This class corresponds to training data labelled 'Testa' in the dataset. The exact species identity requires verification.,Unknown,This is a dataset class labelled 'Testa'. Species data is unavailable as this label may correspond to a test category or a colloquial/regional species name not yet verified.,,
Testb,Unidentified species,Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not Evaluated,Unknown,Unknown,This class corresponds to training data labelled 'Testb' in the dataset. The exact species identity requires verification.,Unknown,This is a dataset class labelled 'Testb'. Species data is unavailable as this label may correspond to a test category or a colloquial/regional species name not yet verified.,,
Tiger,Panthera tigris,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,"Tropical forests, grasslands, savannas, mangroves","Carnivore — deer, wild boar, gaur, water buffalo",10–15 years,16–26 years,100–310 kg,Endangered,Decreasing,"South and Southeast Asia, Russian Far East","No two tigers have the same stripe pattern — stripes are as unique as human fingerprints. Tigers are also the only striped big cat, and the stripes appear on their skin too, not just their fur.","Poaching, habitat loss, prey depletion, human conflict","The tiger is the largest wild cat species and one of the most iconic animals on Earth. It has an orange coat with dark vertical stripes and a white underbelly. Solitary and primarily nocturnal, it is a powerful apex predator.",,
Tortoise,Testudo hermanni,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,"Dry forests, scrublands, hillsides, rocky terrain","Herbivore — plants, flowers, fruit, occasionally carrion",50–100 years,Over 150 years,2–6 kg,Near Threatened,Decreasing,Southern Europe (Spain to Turkey),"Tortoises are one of the longest-lived animals — some individuals exceed 150 years. The world's oldest known tortoise, Jonathan, was born around 1832 and is still alive (as of 2025) on the island of St Helena at approximately 193 years of age.","Habitat loss, collection for pet trade, predation of eggs","Hermann's tortoise is a medium-sized tortoise with a high-domed yellowish-brown shell marked with black patches. It hibernates during winter in cooler climates. Its bony shell is an integral part of its skeleton, not a shell it can leave.",,
Turkey,Meleagris gallopavo,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,"Open forests, woodlands, grasslands, farms","Omnivore — acorns, seeds, insects, berries, small reptiles",3–5 years,10–12 years,3–11 kg,Least Concern,Stable,North America; domesticated worldwide,"Wild turkeys can fly at speeds of up to 88 km/h and have excellent vision — their field of view is 270 degrees. Despite their reputation, they are intelligent birds that have been observed using simple problem-solving strategies.",Hunting (managed); minimal — domesticated populations large,"The wild turkey has dark, iridescent feathers with a metallic sheen, a bare, wrinkled red head, and a distinctive fan-shaped tail. Males (toms) display with spread tails and a distinctive 'gobble' call to attract females.",,
Walrus,Odobenus rosmarus,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,"Arctic and sub-arctic seas, ice floes, rocky shores","Carnivore — clams, sea cucumbers, worms, slow fish",30–40 years,Up to 40 years,"400–1,700 kg",Vulnerable,Decreasing,Arctic Ocean and subarctic seas of the Northern Hemisphere,"Walruses use their iconic tusks (elongated canine teeth) as hooks to haul their massive bodies out of the water onto ice, to establish dominance, and as weapons in fights. Both males and females grow tusks.","Climate change (sea ice loss), hunting, disturbance","The walrus is a large, flippered marine mammal with a distinctive wrinkled, brown-grey skin, prominent whiskers (vibrissae) used to detect molluscs, and long ivory tusks. It is highly gregarious, forming herds of thousands.",,
Whale,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,"Open oceans, deep sea, polar seas",Filter feeder — krill (primarily),80–90 years,Not kept in captivity,"100,000–200,000 kg",Endangered,Increasing,All oceans worldwide,"The blue whale is the largest animal ever known to have existed on Earth. Its heart is the size of a small car, and its call — at 188 decibels — is louder than a jet engine and can be heard by other blue whales 1,600 km away.","Historical whaling, ship strikes, entanglement in fishing gear, noise pollution","The blue whale is the largest animal on Earth. It has a long, streamlined body of blue-grey colour with a mottled pattern. Despite its size, it feeds exclusively on tiny krill, consuming up to 4 tonnes per day.",,
Wheat,Triticum aestivum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Triticum,Temperate farmland worldwide,N/A — plant,Annual,Annual crop,N/A,Not Evaluated,Stable,Worldwide (cultivated); originated in Middle East,"Wheat was one of the first crops domesticated by humans, approximately 10,000 years ago in the Fertile Crescent. It is now the world's second most produced cereal after maize and the most widely consumed crop globally by humans.","Climate change, disease (wheat rusts), genetic homogeneity","Common wheat is an annual grass growing 60–120 cm tall with erect spikes of grain-bearing florets. Its seeds (grains) are ground into flour for bread, pasta, and baked goods. Wheat accounts for approximately 20% of all calories consumed by humans worldwide.",,
Wolf,Canis lupus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,"Forests, tundra, mountains, grasslands, deserts","Carnivore — deer, elk, bison, moose, smaller mammals",6–8 years,12–16 years,23–80 kg,Least Concern,Stable,"North America, Europe, Asia","Wolf howls can carry over 16 km in open terrain. Each wolf has a distinct howl — like a fingerprint — and wolves use howling to communicate territory, locate pack members, and coordinate hunts.","Habitat loss, hunting, persecution by livestock farmers","The grey wolf is the largest wild member of the dog family. It has a thick, bushy coat ranging from grey to brown, black, or white. Highly social, it lives and hunts in family-based packs led by an alpha pair.",,
Zebra,Equus quagga,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,"Savannas, grasslands, open woodlands","Herbivore — grasses, leaves, bark",20–30 years,Up to 40 years,175–450 kg,Near Threatened,Decreasing,Eastern and Southern Africa,"No two zebras have the same stripe pattern, just like human fingerprints. Scientists believe stripes may serve multiple purposes: camouflage in long grass, heat dissipation, and discouraging biting flies.","Habitat loss, competition with livestock, hunting","The plains zebra is a member of the horse family with a distinctive black-and-white striped coat. It lives in large herds and is one of the most recognisable animals in Africa, often mixing with wildebeest and antelope on migrations.",,
